# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
52 1 0.135561812048679 0.178171995684412 0.000184806438701344 104.009231758118 17.7890553474426 248.572835540771 269.215286254883 279.339447021484 262.383805847168 5229.32536621094 1170.30787353516 114.86509437561 3.465034954 12.56434488 1.3620014647131e-05 2190 0
52 2 0.236550857170052 0.251528634047752 0.000179526105894183 144.595309352875 30.6929913043976 247.99136505127 269.602729797363 278.672143554688 263.968515014648 5216.16872558594 1171.66064453125 131.498890304565 4.176865329 13.81437402 1.44280644008177e-05 2920 0
52 3 0.427401404356948 0.522993406439842 0.000153856318538601 104.949169921875 17.4746533632278 248.649533843994 271.390937805176 278.729463195801 267.478410339355 5229.24541015625 1178.99061279297 126.329256057739 3.039929745 11.457958074 2.38677717334213e-05 3650 0
52 4 0.715242634106566 0.80256639209415 0.000142327697321889 87.5578754425049 12.9421379089355 250.151969909668 274.398640441895 279.512994384766 272.692184448242 5256.78986816406 1191.98995361328 83.9975311279297 3.215239709 10.898906747 3.72511981368007e-05 4380 0
52 5 1.10213258172916 1.10567595155651 0.000105311300139874 56.7151351928711 12.5271570920944 253.86803817749 278.703520202637 281.112051391602 278.709484863281 5326.94064941406 1210.96907958984 42.4496545791626 2.695998329 5.958307005 2.3004201727872e-05 5110 0
52 6 1.44266401059941 1.26243832578214 0.000104156778761535 49.8756824970245 18.7238194942474 256.721479034424 281.386715698242 283.16600189209 281.9603515625 5385.83220214844 1222.82154541016 32.4510092735291 3.074672676 5.080301153 5.67840869507563e-06 5840 0
52 7 1.52640348450153 1.29413404712528 9.06155912161921e-05 28.7396200656891 17.007154417038 259.221257019043 283.514610290527 284.885673522949 283.971798706055 5434.92004394531 1232.00442504883 29.7815855979919 3.502696557 4.446246261 5.04154888290032e-06 6570 0
52 8 1.26048397949677 1.07192445044919 0.000109814101415395 31.6992615699768 22.850183224678 258.496708679199 282.940135192871 286.035188293457 282.686679077148 5421.68903808594 1229.69697875977 28.3072075843811 2.846124276 4.628780017 7.15082237547904e-06 7300 0
52 9 0.863244626544081 0.780755268034686 0.000152056282568083 44.6366833686829 18.5291367769241 257.078765869141 281.115312194824 285.686856079102 279.736631774902 5393.45354003906 1221.73424682617 32.02444896698 3.162352922 8.498178394 1.1927818809454e-05 8030 0
52 10 0.417172535665394 0.463798271495074 0.000228564076460316 89.7994981765747 13.5315823912621 253.195914459229 276.453372192383 284.098167419434 273.709838867188 5320.06809082031 1201.11038208008 45.6206089019775 5.166052817 16.93883614 1.81791610430082e-05 8760 0
